,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM1(Ug/m3),1.0,-0.01792016096592228,0.9999999999997072,-0.03742342635703518,-0.009052320448852933,-0.008132398474576988,-0.00040309773171137524,0.0016394789107092242,-0.008710457144569791,0.01520240267504591,0.014197650043512778,-0.0018761907643408966,0.003474578768339634,-0.03362943374135153,0.002308875927033468,-0.0022155958055056616,0.007555668417874574,0.005474709871177795,0.004212716489025669,0.0014345130249653274
PM2.5(Ug/m3),-0.01792016096592228,1.0,-0.017920160710129487,-0.1104097994758026,-0.024117141439287167,0.005739949544827296,-0.003292085300481035,-0.033618707480309165,0.07037948263368465,-0.3747596268290809,-0.3873795682761178,-0.07661922807833806,0.010300081358563761,0.03078060449244508,0.04167588504407422,0.07111805368076697,-0.11164095734960747,-0.00349601720199476,-0.017505597261684953,0.03370601704249275
PM10(Ug/m3),0.9999999999997072,-0.017920160710129487,1.0,-0.03742342672686716,-0.009052319934576189,-0.008132397962667444,-0.0004030976966700036,0.0016394787848246091,-0.008710455194245714,0.015202403468338425,0.014197650196498511,-0.001876190794632649,0.0034745786461783936,-0.033629433786589794,0.0023088758698977144,-0.002215596025516099,0.007555669332633109,0.005474709413687374,0.004212716394091213,0.0014345129393082902
hour,-0.03742342635703518,-0.1104097994758026,-0.03742342672686716,1.0,2.7876041263977653e-05,-5.458181132387317e-05,-0.0009471219982321509,-0.02667954694361169,-0.1568257252750228,0.09909529882635196,0.35248763061783844,0.02204848038673316,-0.09327881317012124,-0.022345450317701264,-0.06735354108036112,0.07140617802389294,0.06349283650973303,-0.018596898067970886,0.009406353426282031,0.028929154833620855
EVI,-0.009052320448852933,-0.024117141439287167,-0.009052319934576189,2.7876041263977653e-05,1.0,0.8739709962462142,0.040552322221426754,0.014372619578970002,0.07733374599588391,-0.00642653319849448,-0.04583603092825017,0.0026015351501910873,0.013579424324268534,-0.007809225459246324,0.01788445148013231,0.0030809329002294858,-0.03195553502635674,0.07387248933872795,-0.03441474645875592,-0.04587972909821181
NDVI,-0.008132398474576988,0.005739949544827296,-0.008132397962667444,-5.458181132387317e-05,0.8739709962462142,1.0,0.057144511655928217,-0.00649288736162046,0.21455675348796313,-0.029240705555769853,-0.09357620207544522,0.01713510778568863,-0.051337665034205886,-0.0219032075952868,-0.024290601433073197,0.04607975473204983,-0.01605995979227646,0.04358195121537996,0.007163777941468657,-0.0005731083026056766
humidity (%),-0.00040309773171137524,-0.003292085300481035,-0.0004030976966700036,-0.0009471219982321509,0.040552322221426754,0.057144511655928217,1.0,0.015266606889393502,-0.11883436705231311,-0.00981236923794268,0.01574682354530081,-0.015144339892688204,-0.0012496582626011408,0.03364492533802998,0.015826130637092695,0.039556860633649354,-0.0688815126240271,-0.022212507196397762,0.009898987597758261,0.03430709823781478
precipitation (mm),0.0016394789107092242,-0.033618707480309165,0.0016394787848246091,-0.02667954694361169,0.014372619578970002,-0.00649288736162046,0.015266606889393502,1.0,0.027926957402320554,-0.05320485229317393,-0.09194521940018946,-0.05619309207741631,0.04334217452837224,0.024784637977466037,0.01598083040812329,-0.02865304771620682,-0.015672036915722047,0.015165916382422475,-0.022164505740237508,-0.024470472284344326
pressure (kPa),-0.008710457144569791,0.07037948263368465,-0.008710455194245714,-0.1568257252750228,0.07733374599588391,0.21455675348796313,-0.11883436705231311,0.027926957402320554,1.0,0.10553310508433945,-0.2767179349705037,-0.022343533849400382,0.06482956664532596,0.001718704558509842,0.03555285388139729,-0.0278087955821528,0.03641920620647976,-0.0506840384554802,-0.01451234686834033,-0.034212956732357684
radiation (W/m2),0.01520240267504591,-0.3747596268290809,0.015202403468338425,0.09909529882635196,-0.00642653319849448,-0.029240705555769853,-0.00981236923794268,-0.05320485229317393,0.10553310508433945,1.0,0.7562791747898928,0.04902356636010595,-0.004031633679652645,-0.048429064237606116,-0.023299440780772517,-0.13793978842974794,0.159408133218167,-0.0031491478805651695,0.039829869553346484,-0.0557896571442058
