,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),MOD13A3_006_Line_Y_1km,MOD13A3_006_Sample_X_1km,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality
PM1(Ug/m3),1.0,0.15574995328933566,0.31023219788688616,,,0.18088665126008166,0.04249625411090699,-0.002312615997539532
PM2.5(Ug/m3),0.15574995328933566,1.0,0.882050949289751,,,-0.37681057881871577,-0.3621989419275516,-0.018634969535742864
PM10(Ug/m3),0.31023219788688616,0.882050949289751,1.0,,,-0.49274055530257777,-0.43242696198940206,-0.045106036332899925
MOD13A3_006_Line_Y_1km,,,,,,,,
MOD13A3_006_Sample_X_1km,,,,,,,,
EVI,0.18088665126008166,-0.37681057881871577,-0.49274055530257777,,,1.0,0.8899376408930373,0.1364565986517557
NDVI,0.04249625411090699,-0.3621989419275516,-0.43242696198940206,,,0.8899376408930373,1.0,-0.03782764865219357
MOD13A3_006__1_km_monthly_VI_Quality,-0.002312615997539532,-0.018634969535742864,-0.045106036332899925,,,0.1364565986517557,-0.03782764865219357,1.0
