,PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI
PM2.5(Ug/m3),1.0,0.9952788132391246,-0.9188631956416078,-0.8459236199770218
PM10(Ug/m3),0.9952788132391246,1.0,-0.8985876983041982,-0.8002432388830583
EVI,-0.9188631956416078,-0.8985876983041982,1.0,0.9612381294338095
NDVI,-0.8459236199770218,-0.8002432388830583,0.9612381294338095,1.0
