,PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI
PM2.5(Ug/m3),1.0,0.9999551738110691,-0.9990906076659126,-0.995420853818267
PM10(Ug/m3),0.9999551738110691,1.0,-0.9994495307692571,-0.9962813099326582
EVI,-0.9990906076659126,-0.9994495307692571,1.0,0.9985913180449697
NDVI,-0.995420853818267,-0.9962813099326582,0.9985913180449697,1.0
