TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2019-03-31 23:00:00,41.17,47.75,23,0 days 23:00:00.000000000
2019-04-01 00:00:00,29.36,33.78,0,0 days 00:00:00.000000000
2019-04-01 01:00:00,29.33,33.56,1,0 days 01:00:00.000000000
2019-04-01 02:00:00,32.54,38.05,2,0 days 02:00:00.000000000
2019-04-01 03:00:00,35.87,41.61,3,0 days 03:00:00.000000000
2019-04-01 04:00:00,36.0,43.04,4,0 days 04:00:00.000000000
2019-04-01 05:00:00,52.63,62.02,5,0 days 05:00:00.000000000
2019-04-01 06:00:00,87.95,98.06,6,0 days 06:00:00.000000000
2019-04-01 07:00:00,98.41,108.35,7,0 days 07:00:00.000000000
2019-04-01 08:00:00,80.87,91.31,8,0 days 08:00:00.000000000
2019-04-01 09:00:00,54.37,64.4,9,0 days 09:00:00.000000000
2019-04-01 10:00:00,47.43,55.58,10,0 days 10:00:00.000000000
2019-04-01 11:00:00,36.72,43.31,11,0 days 11:00:00.000000000
2019-04-01 12:00:00,44.1,53.27,12,0 days 12:00:00.000000000
2019-04-01 13:00:00,32.95,38.09,13,0 days 13:00:00.000000000
2019-04-01 14:00:00,32.53,37.23,14,0 days 14:00:00.000000000
2019-04-01 15:00:00,30.76,35.37,15,0 days 15:00:00.000000000
2019-04-01 16:00:00,33.26,38.64,16,0 days 16:00:00.000000000
2019-04-01 17:00:00,27.17,31.32,17,0 days 17:00:00.000000000
2019-04-01 18:00:00,110.69,122.03,18,0 days 18:00:00.000000000
2019-04-01 19:00:00,76.31,86.74,19,0 days 19:00:00.000000000
2019-04-01 20:00:00,61.45,74.37,20,0 days 20:00:00.000000000
2019-04-01 21:00:00,54.82,66.0,21,0 days 21:00:00.000000000
2019-04-01 22:00:00,38.99,47.39,22,0 days 22:00:00.000000000
2019-04-01 23:00:00,30.79,36.75,23,0 days 23:00:00.000000000
2019-04-02 00:00:00,30.05,35.26,0,0 days 00:00:00.000000000
2019-04-02 01:00:00,27.15,31.22,1,0 days 01:00:00.000000000
2019-04-02 02:00:00,28.07,32.14,2,0 days 02:00:00.000000000
2019-04-02 03:00:00,26.7,30.01,3,0 days 03:00:00.000000000
2019-04-02 04:00:00,27.62,31.14,4,0 days 04:00:00.000000000
2019-04-02 05:00:00,46.02,53.67,5,0 days 05:00:00.000000000
2019-04-02 06:00:00,28.16,32.66,6,0 days 06:00:00.000000000
2019-04-02 07:00:00,80.67,90.77,7,0 days 07:00:00.000000000
2019-04-02 08:00:00,73.16,81.68,8,0 days 08:00:00.000000000
2019-04-02 09:00:00,50.38,58.17,9,0 days 09:00:00.000000000
2019-04-02 10:00:00,52.82,60.35,10,0 days 10:00:00.000000000
2019-04-02 11:00:00,44.13,50.62,11,0 days 11:00:00.000000000
2019-04-02 12:00:00,25.7,29.04,12,0 days 12:00:00.000000000
2019-04-02 13:00:00,28.12,31.6,13,0 days 13:00:00.000000000
2019-04-02 14:00:00,28.38,32.37,14,0 days 14:00:00.000000000
2019-04-02 15:00:00,30.55,34.66,15,0 days 15:00:00.000000000
2019-04-02 16:00:00,31.81,36.35,16,0 days 16:00:00.000000000
2019-04-02 17:00:00,35.54,41.44,17,0 days 17:00:00.000000000
2019-04-02 18:00:00,60.39,68.36,18,0 days 18:00:00.000000000
2019-04-02 19:00:00,76.17,86.14,19,0 days 19:00:00.000000000
2019-04-02 20:00:00,73.21,82.74,20,0 days 20:00:00.000000000
2019-04-02 21:00:00,56.49,66.76,21,0 days 21:00:00.000000000
2019-04-02 22:00:00,46.82,57.3,22,0 days 22:00:00.000000000
2019-04-02 23:00:00,46.66,57.05,23,0 days 23:00:00.000000000
2019-04-03 00:00:00,58.33,70.15,0,0 days 00:00:00.000000000
2019-04-03 01:00:00,56.78,70.23,1,0 days 01:00:00.000000000
2019-04-03 02:00:00,50.1,61.06,2,0 days 02:00:00.000000000
2019-04-03 03:00:00,34.42,39.69,3,0 days 03:00:00.000000000
2019-04-03 04:00:00,38.81,46.85,4,0 days 04:00:00.000000000
2019-04-03 05:00:00,59.03,67.97,5,0 days 05:00:00.000000000
2019-04-03 06:00:00,78.57,88.26,6,0 days 06:00:00.000000000
2019-04-03 07:00:00,95.83,104.88,7,0 days 07:00:00.000000000
2019-04-03 08:00:00,97.75,106.75,8,0 days 08:00:00.000000000
2019-04-03 09:00:00,58.67,68.7,9,0 days 09:00:00.000000000
2019-04-03 10:00:00,41.54,48.58,10,0 days 10:00:00.000000000
2019-04-03 11:00:00,34.6,39.69,11,0 days 11:00:00.000000000
2019-04-03 12:00:00,29.19,33.1,12,0 days 12:00:00.000000000
2019-04-03 13:00:00,27.65,31.09,13,0 days 13:00:00.000000000
2019-04-03 14:00:00,26.24,29.58,14,0 days 14:00:00.000000000
2019-04-03 15:00:00,28.95,32.68,15,0 days 15:00:00.000000000
2019-04-03 16:00:00,44.02,50.86,16,0 days 16:00:00.000000000
2019-04-03 17:00:00,36.65,43.12,17,0 days 17:00:00.000000000
2019-04-03 18:00:00,78.77,91.13,18,0 days 18:00:00.000000000
2019-04-03 19:00:00,81.08,94.79,19,0 days 19:00:00.000000000
2019-04-03 20:00:00,63.07,75.4,20,0 days 20:00:00.000000000
2019-04-03 21:00:00,85.38,95.93,21,0 days 21:00:00.000000000
2019-04-03 22:00:00,52.5,62.86,22,0 days 22:00:00.000000000
2019-04-03 23:00:00,39.84,48.58,23,0 days 23:00:00.000000000
2019-04-04 00:00:00,33.81,39.08,0,0 days 00:00:00.000000000
2019-04-04 01:00:00,27.97,31.5,1,0 days 01:00:00.000000000
2019-04-04 02:00:00,35.82,41.78,2,0 days 02:00:00.000000000
2019-04-04 03:00:00,31.8,36.74,3,0 days 03:00:00.000000000
2019-04-04 04:00:00,28.89,32.47,4,0 days 04:00:00.000000000
2019-04-04 05:00:00,49.44,57.6,5,0 days 05:00:00.000000000
2019-04-04 06:00:00,91.3,100.48,6,0 days 06:00:00.000000000
2019-04-04 07:00:00,102.04,111.08,7,0 days 07:00:00.000000000
2019-04-04 08:00:00,80.85,90.53,8,0 days 08:00:00.000000000
2019-04-04 09:00:00,55.69,66.77,9,0 days 09:00:00.000000000
2019-04-04 10:00:00,67.37,77.27,10,0 days 10:00:00.000000000
2019-04-04 11:00:00,30.49,35.3,11,0 days 11:00:00.000000000
2019-04-04 12:00:00,28.58,32.82,12,0 days 12:00:00.000000000
2019-04-04 13:00:00,27.28,31.46,13,0 days 13:00:00.000000000
2019-04-04 14:00:00,36.27,42.57,14,0 days 14:00:00.000000000
2019-04-04 15:00:00,51.44,62.7,15,0 days 15:00:00.000000000
2019-04-04 16:00:00,38.97,45.96,16,0 days 16:00:00.000000000
2019-04-04 17:00:00,66.81,74.84,17,0 days 17:00:00.000000000
2019-04-04 18:00:00,73.16,83.25,18,0 days 18:00:00.000000000
2019-04-04 19:00:00,67.18,77.73,19,0 days 19:00:00.000000000
2019-04-04 20:00:00,45.08,54.97,20,0 days 20:00:00.000000000
2019-04-04 21:00:00,44.84,53.88,21,0 days 21:00:00.000000000
2019-04-04 22:00:00,45.69,54.79,22,0 days 22:00:00.000000000
2019-04-04 23:00:00,38.48,46.13,23,0 days 23:00:00.000000000
2019-04-05 00:00:00,43.11,53.08,0,0 days 00:00:00.000000000
2019-04-05 01:00:00,42.88,52.09,1,0 days 01:00:00.000000000
2019-04-05 02:00:00,40.15,48.43,2,0 days 02:00:00.000000000
2019-04-05 03:00:00,35.37,41.65,3,0 days 03:00:00.000000000
2019-04-05 04:00:00,37.53,44.73,4,0 days 04:00:00.000000000
2019-04-05 05:00:00,71.85,80.86,5,0 days 05:00:00.000000000
2019-04-05 06:00:00,111.14,120.07,6,0 days 06:00:00.000000000
2019-04-05 07:00:00,106.54,116.58,7,0 days 07:00:00.000000000
2019-04-05 08:00:00,75.03,85.29,8,0 days 08:00:00.000000000
2019-04-05 09:00:00,40.87,48.37,9,0 days 09:00:00.000000000
2019-04-05 10:00:00,43.66,51.17,10,0 days 10:00:00.000000000
2019-04-05 11:00:00,34.82,40.07,11,0 days 11:00:00.000000000
2019-04-05 12:00:00,30.15,34.03,12,0 days 12:00:00.000000000
2019-04-05 13:00:00,24.57,27.69,13,0 days 13:00:00.000000000
2019-04-05 14:00:00,22.59,25.61,14,0 days 14:00:00.000000000
2019-04-05 15:00:00,21.65,24.31,15,0 days 15:00:00.000000000
2019-04-05 16:00:00,23.24,26.23,16,0 days 16:00:00.000000000
2019-04-05 17:00:00,28.55,32.53,17,0 days 17:00:00.000000000
2019-04-05 18:00:00,56.18,64.92,18,0 days 18:00:00.000000000
2019-04-05 19:00:00,54.36,66.61,19,0 days 19:00:00.000000000
2019-04-05 20:00:00,67.65,77.89,20,0 days 20:00:00.000000000
2019-04-05 21:00:00,64.83,77.48,21,0 days 21:00:00.000000000
2019-04-05 22:00:00,56.23,66.05,22,0 days 22:00:00.000000000
2019-04-05 23:00:00,43.93,51.81,23,0 days 23:00:00.000000000
2019-04-06 00:00:00,34.37,41.4,0,0 days 00:00:00.000000000
2019-04-06 01:00:00,38.91,46.68,1,0 days 01:00:00.000000000
2019-04-06 02:00:00,39.4,47.51,2,0 days 02:00:00.000000000
2019-04-06 03:00:00,41.3,48.74,3,0 days 03:00:00.000000000
2019-04-06 04:00:00,62.81,72.27,4,0 days 04:00:00.000000000
2019-04-06 05:00:00,67.97,78.45,5,0 days 05:00:00.000000000
2019-04-06 06:00:00,104.25,114.47,6,0 days 06:00:00.000000000
2019-04-06 07:00:00,91.75,102.14,7,0 days 07:00:00.000000000
2019-04-06 08:00:00,53.79,64.75,8,0 days 08:00:00.000000000
2019-04-06 09:00:00,42.28,50.2,9,0 days 09:00:00.000000000
2019-04-06 10:00:00,53.08,61.79,10,0 days 10:00:00.000000000
2019-04-06 11:00:00,28.14,32.15,11,0 days 11:00:00.000000000
2019-04-06 12:00:00,27.68,31.33,12,0 days 12:00:00.000000000
2019-04-06 13:00:00,29.41,33.25,13,0 days 13:00:00.000000000
2019-04-06 14:00:00,25.22,28.51,14,0 days 14:00:00.000000000
2019-04-06 15:00:00,34.49,39.58,15,0 days 15:00:00.000000000
2019-04-06 16:00:00,28.39,32.68,16,0 days 16:00:00.000000000
2019-04-06 17:00:00,35.3,42.24,17,0 days 17:00:00.000000000
2019-04-06 18:00:00,47.57,57.75,18,0 days 18:00:00.000000000
2019-04-06 19:00:00,57.1,69.24,19,0 days 19:00:00.000000000
2019-04-06 20:00:00,64.69,76.6,20,0 days 20:00:00.000000000
2019-04-06 21:00:00,81.09,93.85,21,0 days 21:00:00.000000000
2019-04-06 22:00:00,54.3,65.81,22,0 days 22:00:00.000000000
2019-04-06 23:00:00,44.12,54.06,23,0 days 23:00:00.000000000
2019-04-07 00:00:00,31.52,37.5,0,0 days 00:00:00.000000000
2019-04-07 01:00:00,43.22,53.2,1,0 days 01:00:00.000000000
