,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3),EVI,NDVI
PM1(Ug/m3),1.0,0.9997991575548798,0.9931515685876725,-0.38377026214324744,0.028831436716314458
PM10(Ug/m3),0.9997991575548798,1.0,0.9944967728892666,-0.37559243112069396,0.0344104106953871
PM2.5(Ug/m3),0.9931515685876725,0.9944967728892666,1.0,-0.2770880630795895,0.13439916918509004
EVI,-0.38377026214324744,-0.37559243112069396,-0.2770880630795895,1.0,0.8985895261398665
NDVI,0.028831436716314458,0.0344104106953871,0.13439916918509004,0.8985895261398665,1.0
