TimeStamp,PM1(Ug/m3),PM10(Ug/m3),PM2.5(Ug/m3)
2019-01-31,22.94,33.75,28.23
2019-02-28,25.64,37.62,29.77
2019-03-31,23.62,34.81,27.91
2019-04-30,15.0,21.35,18.74
2019-05-31,8.15,11.15,10.32
