TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),MOD13A3_006_Line_Y_1km,MOD13A3_006_Sample_X_1km,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2017-11-04,18.97,24.85,49.17,1159.0,309.0,0.2165,0.4225,2181.0,82.88,0.0,87.708,3302.85,20.49,1.14,0.72,2.1,0,0,0,0,0,1,0,0
2017-11-05,14.6,18.95,50.32,1159.0,309.0,0.2165,0.4225,2181.0,80.63,0.0,87.734,3079.76,21.23,0.55,0.18,0.9,1,0,0,0,0,0,0,0
2017-11-06,20.86,27.66,53.27,1159.0,309.0,0.2165,0.4225,2181.0,87.92,7.3,87.604,2781.42,20.95,0.57,0.2,1.0,1,0,0,0,0,0,0,0
2017-11-07,10.23,12.81,22.35,1159.0,309.0,0.2165,0.4225,2181.0,92.29,66.84,87.723,2762.91,19.38,1.65,0.15,22.84,0,0,0,0,0,1,0,0
2017-11-08,9.22,11.61,21.16,1159.0,309.0,0.2165,0.4225,2181.0,85.42,3.36,87.68700000000001,3191.81,21.62,0.53,0.23,0.83,1,0,0,0,0,0,0,0
2017-11-09,8.08,10.07,17.11,1159.0,309.0,0.2165,0.4225,2181.0,86.33,1.0,87.632,3439.81,21.52,0.53,0.2,0.93,1,0,0,0,0,0,0,0
2017-11-10,22.97,28.05,47.07,1159.0,309.0,0.2165,0.4225,2181.0,85.25,12.08,87.55799999999999,3612.91,21.24,0.7,0.4,1.19,1,0,0,0,0,0,0,0
2017-11-11,14.28,17.76,34.31,1159.0,309.0,0.2165,0.4225,2181.0,78.5,0.0,87.56299999999999,4988.47,22.97,0.63,0.23,1.23,0,0,1,0,0,0,0,0
2017-11-12,27.13,35.17,70.63,1159.0,309.0,0.2165,0.4225,2181.0,89.17,4.26,87.632,2888.44,21.12,0.55,0.2,1.04,1,0,0,0,0,0,0,0
2017-11-13,10.42,12.96,19.9,1159.0,309.0,0.2165,0.4225,2181.0,85.38,6.98,87.574,4226.36,21.72,0.55,0.18,0.88,0,0,0,0,0,1,0,0
2017-11-14,7.81,9.6,31.86,1159.0,309.0,0.2165,0.4225,2181.0,88.71,32.26,87.565,3049.48,20.91,0.42,0.0,1.62,0,1,0,0,0,0,0,0
2017-11-15,5.89,7.11,14.31,1159.0,309.0,0.2165,0.4225,2181.0,75.54,0.05,87.505,5064.27,23.26,0.65,0.0,3.18,0,0,0,0,0,0,1,0
2017-11-16,14.31,17.81,83.44,1159.0,309.0,0.2165,0.4225,2181.0,81.75,9.26,87.478,3873.78,22.2,0.61,0.29,1.12,0,0,0,0,1,0,0,0
2017-11-17,11.97,14.38,25.11,1159.0,309.0,0.2165,0.4225,2181.0,77.04,1.64,87.52,4096.07,22.06,0.6,0.2,1.13,1,0,0,0,0,0,0,0
2017-11-18,34.385,42.61,65.03999999999999,1159.0,309.0,0.2165,0.4225,2181.0,74.71,0.0,87.56299999999999,4927.37,22.61,0.57,0.2,1.28,0,0,0,1,0,0,0,0
2017-11-19,34.385,42.61,65.03999999999999,1159.0,309.0,0.2165,0.4225,2181.0,72.63,0.04,87.574,5279.71,23.58,0.71,0.23,1.28,0,0,0,0,1,0,0,0
2017-11-20,56.8,70.84,104.97,1159.0,309.0,0.2165,0.4225,2181.0,71.0,0.0,87.65100000000001,4566.07,23.17,0.73,0.35,1.39,0,0,1,0,0,0,0,0
2017-11-21,35.07,45.54,78.61,1159.0,309.0,0.2165,0.4225,2181.0,60.54,0.0,87.555,5359.13,24.24,0.66,0.24,1.06,1,0,0,0,0,0,0,0
2017-11-22,35.07,45.54,78.61,1159.0,309.0,0.2165,0.4225,2181.0,69.75,0.0,87.535,4130.73,23.58,0.56,0.21,1.48,0,0,0,1,0,0,0,0
2017-11-23,13.34,20.24,52.25,1159.0,309.0,0.2165,0.4225,2181.0,72.17,0.0,87.571,3628.69,22.93,0.78,0.37,1.22,1,0,0,0,0,0,0,0
2017-11-24,17.8,26.33,44.94,1159.0,309.0,0.2165,0.4225,2181.0,93.92,26.9,87.73700000000001,1205.04,19.13,0.57,0.27,1.42,1,0,0,0,0,0,0,0
2017-11-25,22.02,32.16,58.64,1159.0,309.0,0.2165,0.4225,2181.0,76.67,0.77,87.773,4122.03,22.63,0.7,0.22,1.16,0,0,1,0,0,0,0,0
2017-11-26,9.07,13.66,29.25,1159.0,309.0,0.2165,0.4225,2181.0,80.38,3.01,87.87200000000001,3721.45,21.57,0.62,0.26,1.03,0,0,0,1,0,0,0,0
2017-11-27,9.45,13.91,36.38,1159.0,309.0,0.2165,0.4225,2181.0,82.92,1.98,87.77799999999999,3635.92,22.12,0.64,0.32,1.22,0,0,0,0,0,0,1,0
2017-11-28,8.61,12.44,31.72,1159.0,309.0,0.2165,0.4225,2181.0,77.46,0.11,87.69,5622.47,23.11,0.77,0.35,1.25,0,0,1,0,0,0,0,0
2017-11-29,7.09,10.27,27.06,1159.0,309.0,0.2165,0.4225,2181.0,80.13,24.5,87.756,3927.77,22.05,0.68,0.31,0.99,1,0,0,0,0,0,0,0
2017-11-30,7.64,10.95,31.43,1159.0,309.0,0.2165,0.4225,2181.0,80.25,2.55,87.759,3589.94,21.77,0.81,0.35,1.41,1,0,0,0,0,0,0,0
2017-12-01,6.53,9.48,24.96,1159.0,309.0,0.187,0.3653,2185.0,81.21,0.05,87.656,4460.95,22.0,0.61,0.25,1.19,0,0,0,0,0,0,1,0
2017-12-02,9.58,13.93,32.18,1159.0,309.0,0.187,0.3653,2185.0,76.13,0.82,87.635,4100.75,22.57,0.53,0.26,1.16,0,0,0,1,0,0,0,0
2017-12-03,13.82,19.97,41.29,1159.0,309.0,0.187,0.3653,2185.0,76.96,0.0,87.691,3999.69,22.66,0.7,0.28,1.21,0,0,0,1,0,0,0,0
2017-12-04,12.04,17.52,45.62,1159.0,309.0,0.187,0.3653,2185.0,82.46,0.0,87.67299999999999,2855.72,22.3,0.61,0.32,1.15,0,0,0,1,0,0,0,0
2017-12-05,6.77,10.14,27.33,1159.0,309.0,0.187,0.3653,2185.0,75.33,0.08,87.57799999999999,5203.02,23.23,0.68,0.24,1.44,0,0,0,0,0,0,1,0
2017-12-06,12.82,18.66,45.95,1159.0,309.0,0.187,0.3653,2185.0,80.0,0.53,87.54899999999999,2411.81,22.33,0.54,0.29,1.13,0,0,0,1,0,0,0,0
2017-12-07,12.3,17.4,39.7,1159.0,309.0,0.187,0.3653,2185.0,82.79,5.23,87.49799999999999,2946.75,22.4,0.53,0.19,1.0,0,0,0,1,0,0,0,0
2017-12-08,11.51,17.05,44.73,1159.0,309.0,0.187,0.3653,2185.0,79.5,0.0,87.46,3535.43,23.24,0.51,0.23,0.95,0,0,0,0,0,0,0,1
2017-12-09,8.64,12.66,33.33,1159.0,309.0,0.187,0.3653,2185.0,87.63,4.37,87.491,2687.9,21.45,0.6,0.25,1.12,0,0,0,0,0,0,1,0
2017-12-10,17.48,24.22,47.13,1159.0,309.0,0.187,0.3653,2185.0,78.0,0.15,87.561,4194.82,22.95,0.57,0.32,0.89,0,1,0,0,0,0,0,0
2017-12-11,11.29,17.33,48.61,1159.0,309.0,0.187,0.3653,2185.0,73.13,0.1,87.669,4254.06,22.64,0.68,0.27,1.23,0,0,0,0,1,0,0,0
2017-12-12,16.29,23.82,50.18,1159.0,309.0,0.187,0.3653,2185.0,75.71,0.15,87.678,5118.76,22.73,0.78,0.21,1.51,0,0,0,0,1,0,0,0
2017-12-13,13.46,19.81,50.11,1159.0,309.0,0.187,0.3653,2185.0,66.58,0.1,87.645,5425.89,23.54,0.92,0.4,1.86,0,0,0,0,1,0,0,0
2017-12-14,12.19,18.94,48.71,1159.0,309.0,0.187,0.3653,2185.0,71.13,0.0,87.633,3940.04,23.69,0.59,0.27,1.1,0,0,0,0,0,0,1,0
2017-12-15,23.03,35.19,85.34,1159.0,309.0,0.187,0.3653,2185.0,69.38,0.0,87.616,3312.54,24.1,0.84,0.31,1.38,0,0,0,0,1,0,0,0
2017-12-16,16.45,26.09,65.1,1159.0,309.0,0.187,0.3653,2185.0,68.83,0.0,87.613,4209.28,23.85,0.75,0.27,1.75,0,0,0,0,1,0,0,0
2017-12-17,11.85,17.95,44.9,1159.0,309.0,0.187,0.3653,2185.0,75.96,0.15,87.594,4018.11,23.3,0.69,0.24,1.35,0,0,0,0,1,0,0,0
2017-12-18,14.8,22.42,59.4,1159.0,309.0,0.187,0.3653,2185.0,75.33,0.0,87.55799999999999,3302.82,23.05,0.66,0.35,1.17,0,0,0,0,1,0,0,0
2017-12-19,9.31,14.15,35.46,1159.0,309.0,0.187,0.3653,2185.0,70.75,0.0,87.56299999999999,4857.77,24.04,1.01,0.17,2.07,0,0,0,0,1,0,0,0
2017-12-20,6.38,10.1,35.98,1159.0,309.0,0.187,0.3653,2185.0,74.92,0.04,87.67,4974.24,23.82,0.94,0.29,1.97,0,0,0,0,1,0,0,0
2017-12-21,7.79,12.32,39.9,1159.0,309.0,0.187,0.3653,2185.0,71.5,0.09,87.678,4655.03,23.23,0.9,0.33,1.83,0,0,0,0,1,0,0,0
2017-12-22,10.6,16.43,52.77,1159.0,309.0,0.187,0.3653,2185.0,70.04,0.03,87.589,4909.77,23.71,0.9,0.17,1.83,0,0,0,0,1,0,0,0
2017-12-23,13.5,21.44,67.27,1159.0,309.0,0.187,0.3653,2185.0,62.33,0.0,87.52600000000001,4543.12,24.41,0.97,0.23,1.76,0,0,0,0,1,0,0,0
2017-12-24,12.75,20.56,67.32,1159.0,309.0,0.187,0.3653,2185.0,56.04,0.0,87.492,4719.5,24.7,1.38,0.41,2.15,0,0,0,0,0,1,0,0
2017-12-25,10.42,16.51,51.62,1159.0,309.0,0.187,0.3653,2185.0,61.21,0.0,87.598,4441.08,24.27,1.03,0.3,2.06,0,0,0,0,1,0,0,0
2017-12-26,6.12,9.7,32.57,1159.0,309.0,0.187,0.3653,2185.0,72.67,0.0,87.537,5055.94,23.94,1.01,0.32,2.02,0,0,0,0,1,0,0,0
2017-12-27,8.52,12.59,37.29,1159.0,309.0,0.187,0.3653,2185.0,69.58,0.0,87.449,4832.5,23.97,1.17,0.23,2.77,0,0,0,0,1,0,0,0
2017-12-28,9.85,14.6,38.65,1159.0,309.0,0.187,0.3653,2185.0,65.75,0.05,87.49600000000001,4392.59,24.49,1.04,0.22,2.42,0,0,0,0,0,1,0,0
2017-12-29,12.19,18.79,52.26,1159.0,309.0,0.187,0.3653,2185.0,67.38,0.0,87.61399999999999,4151.41,24.15,1.23,0.26,2.71,0,0,0,0,0,1,0,0
2017-12-30,11.23,16.44,40.04,1159.0,309.0,0.187,0.3653,2185.0,83.46,5.79,87.65299999999999,1843.19,21.77,0.52,0.24,1.0,0,0,0,1,0,0,0,0
2017-12-31,11.41,16.27,35.77,1159.0,309.0,0.187,0.3653,2185.0,91.96,10.01,87.685,1119.67,19.9,0.58,0.28,1.14,0,0,1,0,0,0,0,0
2018-01-01,8.19,12.01,22.69,1159.0,309.0,0.1697,0.3407,2181.0,81.17,0.0,87.631,2829.12,21.65,0.77,0.2,2.35,0,0,0,0,0,1,0,0
2018-01-02,10.125,15.469999999999999,38.24,1159.0,309.0,0.1697,0.3407,2181.0,81.71,0.06,87.59,3262.32,21.82,0.6,0.29,1.28,0,0,0,0,0,0,1,0
2018-01-03,10.125,15.469999999999999,38.24,1159.0,309.0,0.1697,0.3407,2181.0,62.67,0.06,87.596,4191.76,23.04,1.48,0.24,2.72,0,0,0,0,0,1,0,0
2018-01-04,10.125,15.469999999999999,38.24,1159.0,309.0,0.1697,0.3407,2181.0,71.96,0.02,87.713,3715.14,22.24,0.99,0.27,2.72,0,0,0,0,0,1,0,0
2018-01-05,10.125,15.469999999999999,38.24,1159.0,309.0,0.1697,0.3407,2181.0,60.33,0.08,87.56299999999999,4203.79,23.28,1.1,0.22,2.03,0,0,0,0,0,1,0,0
2018-01-06,10.125,15.469999999999999,38.24,1159.0,309.0,0.1697,0.3407,2181.0,49.38,0.0,87.57799999999999,4063.62,22.86,1.35,0.74,2.4,0,0,0,0,0,1,0,0
2018-01-07,10.125,15.469999999999999,38.24,1159.0,309.0,0.1697,0.3407,2181.0,48.04,0.0,87.61,4169.88,22.85,1.55,0.67,2.75,0,0,0,0,0,1,0,0
2018-01-08,12.06,18.93,53.79,1159.0,309.0,0.1697,0.3407,2181.0,42.29,0.0,87.65299999999999,4798.52,23.7,1.69,0.74,2.97,0,0,0,0,0,1,0,0
2018-01-09,8.48,13.46,36.22,1159.0,309.0,0.1697,0.3407,2181.0,52.08,0.0,87.699,4710.61,23.53,1.62,0.32,3.17,0,0,0,0,0,1,0,0
2018-01-10,10.34,15.84,37.5,1159.0,309.0,0.1697,0.3407,2181.0,52.04,0.07,87.62100000000001,4064.56,24.46,1.18,0.3,2.15,0,0,0,0,0,1,0,0
2018-01-11,5.455,8.295,19.135,1159.0,309.0,0.1697,0.3407,2181.0,59.33,0.0,87.603,3672.02,24.48,1.29,0.32,2.81,0,0,0,0,1,0,0,0
2018-01-12,5.455,8.295,19.135,1159.0,309.0,0.1697,0.3407,2181.0,83.96,20.53,87.637,1804.81,20.85,0.7,0.0,3.1,0,0,0,1,0,0,0,0
2018-01-13,5.455,8.295,19.135,1159.0,309.0,0.1697,0.3407,2181.0,80.67,0.02,87.60600000000001,3120.51,22.38,0.67,0.38,1.16,0,0,0,0,0,0,1,0
2018-01-14,5.455,8.295,19.135,1159.0,309.0,0.1697,0.3407,2181.0,74.42,0.77,87.602,4307.81,22.78,0.61,0.31,1.34,0,0,0,0,0,0,1,0
2018-01-15,0.57,0.75,0.77,1159.0,309.0,0.1697,0.3407,2181.0,72.79,0.0,87.654,4218.56,23.74,1.09,0.23,2.96,0,0,0,0,0,1,0,0
2018-01-16,0.89,0.96,0.96,1159.0,309.0,0.1697,0.3407,2181.0,77.79,0.14,87.605,3986.33,23.33,0.63,0.17,1.33,0,0,0,0,1,0,0,0
2018-01-17,1.18,1.27,1.27,1159.0,309.0,0.1697,0.3407,2181.0,58.38,0.0,87.475,5122.16,24.03,0.75,0.21,1.25,0,0,1,0,0,0,0,0
2018-01-18,2.12,2.47,2.49,1159.0,309.0,0.1697,0.3407,2181.0,76.88,0.13,87.525,3739.29,23.37,0.65,0.28,1.15,0,0,0,0,0,0,1,0
2018-01-19,1.92,2.09,2.1,1159.0,309.0,0.1697,0.3407,2181.0,72.13,0.12,87.514,4324.3,24.27,0.72,0.26,1.29,0,0,0,0,0,1,0,0
2018-01-20,10.37,14.05,36.03,1159.0,309.0,0.1697,0.3407,2181.0,71.67,0.0,87.63799999999999,2433.21,22.74,0.61,0.24,1.11,0,0,0,0,0,0,1,0
2018-01-21,8.415,12.075,35.46,1159.0,309.0,0.1697,0.3407,2181.0,70.63,0.0,87.617,4919.34,23.03,0.88,0.31,1.69,0,0,0,0,0,0,0,1
