Date,Tahmo,UNMA
2018-09-02,0.19,0.7
2018-09-03,0.84,0.4
2018-09-04,15.88,16
2018-09-05,2.02,2
2018-09-06,0.2,0
2018-09-07,0.04,0
2018-09-08,36.32,35.5
2018-09-09,0.05,0.1
2018-09-10,2.35,2.5
2018-09-11,0.12,2.1
2018-09-12,2.66,0.7
2018-09-13,0,0
2018-09-14,0.66,0.5
2018-09-15,0,0
2018-09-16,0.4,0.3
2018-09-17,0,
2018-09-18,0.08,0
2018-09-19,1.62,1.3
2018-09-20,0,0
2018-09-21,0.04,0
2018-09-22,0.06,3.4
2018-09-23,3.63,0.1
2018-09-24,0.26,0.2
2018-09-25,0,0
2018-09-26,0,0
2018-09-27,0,
2018-09-28,9.07,9.5
2018-09-29,1.04,0.2
2018-09-30,0,0
2018-10-01,0,0
2018-10-02,0,5.9
2018-10-03,6.29,0.1
2018-10-04,0.09,0
2018-10-05,11.72,12.5
2018-10-06,0.93,0
2018-10-07,0,0
2018-10-08,0.02,0
2018-10-09,0.1,
2018-10-10,4.33,4.9
2018-10-11,1.15,1.5
2018-10-12,0.48,0
2018-10-13,0.07,41.4
2018-10-14,48.23,0.6
2018-10-15,0,
2018-10-16,19.77,20.3
2018-10-17,1.81,0.3
2018-10-18,0,
2018-10-19,0.09,0.4
2018-10-20,0.45,4
2018-10-21,4.13,0
2018-10-22,0,0
2018-10-23,17.27,16.8
2018-10-24,2.33,2.7
2018-10-25,34.35,33.3
2018-10-26,13.84,20
2018-10-27,6.74,2.3
2018-10-28,2.3,0
2018-10-29,0.25,40.3
2018-10-30,44.93,4.2
2018-10-31,4.13,1.1
2018-11-01,1.35,8.2
2018-11-02,7.8,
2018-11-03,7.14,7.2
2018-11-04,5,5
2018-11-05,0.07,0
2018-11-06,0,0.1
2018-11-07,0,18.2
2018-11-08,19.32,10.7
2018-11-09,11.39,0
2018-11-10,0,
2018-11-11,35.71,34.3
2018-11-12,4.12,20.7
2018-11-13,20.02,0
2018-11-14,0,1.8
2018-11-15,3.49,1.5
2018-11-16,0.32,0.4
2018-11-17,6.35,31.4
2018-11-18,26.32,0.2
2018-11-19,0.82,13
2018-11-20,12.11,0
2018-11-21,0.05,0
2018-11-22,0.02,0
2018-11-23,0.09,0
2018-11-24,0.07,0
2018-11-25,0.14,0
2018-11-26,0.06,0
2018-11-27,0.04,0
2018-11-28,0,0
2018-11-29,0,0
2018-11-30,0,0
2018-12-01,0,0
2018-12-02,0.59,0.1
2018-12-03,10.41,9.9
2018-12-04,4.75,4.6
2018-12-05,0.02,0
2018-12-06,24.39,25
2018-12-07,0.12,0
2018-12-08,15.38,14.8
2018-12-09,0.95,1
2018-12-10,5.21,5.7
2018-12-11,17.84,16.3
2018-12-12,0.04,
2018-12-13,0,0
2018-12-14,0,1.1
2018-12-15,38.67,37.2
2018-12-16,0.54,
2018-12-17,0.07,0
2018-12-18,0.33,0.2
2018-12-19,0.29,0.2
2018-12-20,0.97,0.9
2018-12-21,3.42,3.4
2018-12-22,0.11,0
2018-12-23,0.54,1.2
2018-12-24,0.81,0
2018-12-25,0.19,0
2018-12-26,0.15,0
2018-12-27,0.11,0
2018-12-28,0.18,1
2018-12-29,5.43,4.1
2018-12-30,0,
2018-12-31,0,19.5
