site,name,day,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),min temperature (oC),max temperature (oC),predominant winddirection,average windspeed (m/s),min windspeed (m/s),max windspeed (m/s)
TA00216,Makerere Synoptic,2018-10-17,83.04,1.81,87.589,3494.6,22.37,19.15,29.14,SE,0.73,0.32,1.26
TA00216,Makerere Synoptic,2018-10-18,82.88,0,87.572,3230.95,21.36,18.22,25.96,SE,0.67,0.24,1.63
TA00216,Makerere Synoptic,2018-10-19,89.67,0.09,87.724,2220.65,19.91,17.47,24.1,E,0.81,0.45,1.04
TA00216,Makerere Synoptic,2018-10-20,82.5,0.45,87.703,4534.44,22.23,17.24,27.5,S,0.69,0.22,1.21
TA00216,Makerere Synoptic,2018-10-21,78.46,4.13,87.63,5659.36,23.42,18.1,28.36,S,0.83,0.29,1.46
TA00216,Makerere Synoptic,2018-10-22,70.38,0,87.624,5803.29,23.77,19.51,28.33,S,0.94,0.21,1.88
TA00216,Makerere Synoptic,2018-10-23,74.13,17.27,87.746,5562.18,23.18,17.49,28.38,SE,0.95,0,1.92
TA00216,Makerere Synoptic,2018-10-24,78,2.33,87.678,4384.98,23.16,17.59,27.92,S,2.71,0,32.62
TA00216,Makerere Synoptic,2018-10-25,91.13,34.35,87.715,2094.59,20.51,17.9,26.98,SE,1.85,0,22.1
TA00216,Makerere Synoptic,2018-10-26,84.67,13.84,87.778,4273.73,21.93,18.35,26.63,S,0.89,0.35,1.61
TA00216,Makerere Synoptic,2018-10-27,83.38,6.74,87.81,3612.22,22.41,17.9,26.77,SE,1.02,0.67,1.61
TA00216,Makerere Synoptic,2018-10-28,76.58,2.3,87.752,4967.7,22.98,17.73,30.21,SE,0.7,0.37,1.15
TA00216,Makerere Synoptic,2018-10-29,78.83,0.25,87.628,4459.35,23.06,18.4,28.16,SE,0.97,0.36,2.29
TA00216,Makerere Synoptic,2018-10-30,86.25,44.93,87.576,3082.72,21.96,17.99,26.9,SE,0.78,0.3,1.85
TA00216,Makerere Synoptic,2018-10-31,84.21,4.13,87.57,2576.05,21.58,18.09,28.75,SW,0.69,0.28,1.8
TA00216,Makerere Synoptic,2018-11-01,82.79,1.35,87.604,2828.78,21.46,18.91,26.54,S,0.88,0.3,2.07
TA00216,Makerere Synoptic,2018-11-02,78.38,7.8,87.573,5318.15,23.19,18.12,29.34,S,0.7,0.24,1.17
TA00216,Makerere Synoptic,2018-11-03,84.54,7.14,87.596,2907.88,22.08,19.59,27.75,SE,0.62,0.26,1.22
TA00216,Makerere Synoptic,2018-11-04,90.42,5,87.633,2375.95,21,19.08,26.38,NE,0.63,0.31,1.17
TA00216,Makerere Synoptic,2018-11-05,80.29,0.07,87.561,3968.53,22.74,18.25,29.32,S,0.74,0.19,1.57
TA00216,Makerere Synoptic,2018-11-06,80.33,0,87.547,3843.58,22.7,18.77,29.5,SE,0.62,0.28,1.12
TA00216,Makerere Synoptic,2018-11-07,74.58,0,87.617,3935.9,23.98,19.98,30.36,SE,0.81,0.28,1.89
TA00216,Makerere Synoptic,2018-11-08,79.42,19.32,87.671,4653.88,22.74,17.12,29.65,E,0.76,0.29,1.55
TA00216,Makerere Synoptic,2018-11-09,80.83,11.39,87.681,4057.21,21.9,17.16,28.25,SE,1.03,0.36,2.44
TA00216,Makerere Synoptic,2018-11-10,86.38,0,87.718,2318.92,21.12,18.3,27.08,E,0.84,0.36,1.21
TA00216,Makerere Synoptic,2018-11-11,90,35.71,87.767,3025.11,20.65,18.07,28.25,SE,2.04,0,28.34
TA00216,Makerere Synoptic,2018-11-12,81.21,4.12,87.597,5403.87,23.07,17.84,28.35,S,0.92,0.28,1.49
TA00216,Makerere Synoptic,2018-11-13,79.29,20.02,87.523,4295.44,22.64,17.68,29.14,SE,0.87,0,2.07
TA00216,Makerere Synoptic,2018-11-14,76.5,0,87.397,5205.46,23.78,18.39,29.77,SE,1.12,0.3,2.89
TA00216,Makerere Synoptic,2018-11-15,80.83,3.49,87.54,3022.36,22.52,18.87,30.06,SE,1.17,0.33,3.14
TA00216,Makerere Synoptic,2018-11-16,81.38,0.32,87.707,3215.17,22.54,19.51,27.73,SE,0.93,0.44,2.06
TA00216,Makerere Synoptic,2018-11-17,82.17,6.35,87.705,3282.16,22.8,18.94,27.72,SE,1.15,0.4,2.48
TA00216,Makerere Synoptic,2018-11-18,81.17,26.32,87.743,4053.65,22.42,17.79,28.16,S,0.88,0.5,1.58
TA00216,Makerere Synoptic,2018-11-19,79.5,0.82,87.63,4089.4,23.32,18.69,30.25,SE,0.73,0.32,1.19
TA00216,Makerere Synoptic,2018-11-20,80,12.11,87.64,4630.45,23.45,17.72,29.03,S,0.7,0.29,1.29
TA00216,Makerere Synoptic,2018-11-21,76.21,0.05,87.634,4508.37,23.77,19.23,30.12,S,0.67,0.31,1.31
TA00216,Makerere Synoptic,2018-11-22,79.83,0.02,87.641,4369.34,23.47,19.9,29.04,S,1.13,0.46,2.64
TA00216,Makerere Synoptic,2018-11-23,83.67,0.09,87.643,2820.5,22.5,18.85,28.63,S,0.73,0.37,1.18
TA00216,Makerere Synoptic,2018-11-24,80.29,0.07,87.695,3845.44,23.11,18.74,28.67,S,0.87,0.44,1.7
TA00216,Makerere Synoptic,2018-11-25,83.79,0.14,87.642,4334.46,23.41,19.99,28.9,S,0.9,0.37,1.75
TA00216,Makerere Synoptic,2018-11-26,77.83,0.06,87.558,4034.99,23.69,19.62,29.58,S,0.98,0.31,2.02
TA00216,Makerere Synoptic,2018-11-27,73.5,0.04,87.551,4916.73,24.45,18.91,30.6,S,1.02,0.22,1.98
TA00216,Makerere Synoptic,2018-11-28,73.38,0,87.544,4716.37,24.39,19.53,30.37,S,0.98,0.27,2.07
TA00216,Makerere Synoptic,2018-11-29,70.54,0,87.478,5049.9,24.65,19.29,30.77,SE,0.95,0.26,2.08
TA00216,Makerere Synoptic,2018-11-30,60.67,0,87.435,5149.88,24.98,20.15,32.03,SE,2.05,0.51,3.44
TA00216,Makerere Synoptic,2018-12-01,65.04,0,87.456,4382.59,24.27,18.98,30.95,SE,2.38,0.5,3.96
TA00216,Makerere Synoptic,2018-12-02,74.67,0.59,87.46,3712.15,23.8,19.16,30.38,SE,1.65,0.28,3.86
TA00216,Makerere Synoptic,2018-12-03,82.92,10.41,87.444,3224.91,21.57,18.37,29.92,E,0.86,0.32,1.35
TA00216,Makerere Synoptic,2018-12-04,87.33,4.75,87.602,2449.84,21.3,18.92,25.24,SE,0.57,0.2,0.89
TA00216,Makerere Synoptic,2018-12-05,85.54,0.02,87.661,3367.12,22.21,18.41,27.79,S,0.68,0.35,1.41
TA00216,Makerere Synoptic,2018-12-06,88.54,24.39,87.605,2505.44,21.68,17.99,27.87,S,1.11,0,6.65
TA00216,Makerere Synoptic,2018-12-07,77.42,0.12,87.432,4025.98,24.34,19.52,30.18,SE,0.98,0.4,1.92
TA00216,Makerere Synoptic,2018-12-08,76.25,15.38,87.623,3762.12,23.56,17.89,29.24,SE,1.34,0.48,4.21
TA00216,Makerere Synoptic,2018-12-09,91.79,0.95,87.881,2209.51,19.78,17.34,22.72,SE,0.88,0.38,1.55
TA00216,Makerere Synoptic,2018-12-10,85.79,5.21,87.932,2585.12,21.1,18.07,24.64,SE,0.75,0.37,1.27
TA00216,Makerere Synoptic,2018-12-11,98.29,17.84,88.014,757.54,17.91,16.7,19.68,SE,1.01,0.73,1.55
TA00216,Makerere Synoptic,2018-12-12,83.33,0.04,87.923,3272.1,22.01,16.82,28.23,SE,0.86,0.52,1.12
TA00216,Makerere Synoptic,2018-12-13,86.88,0,87.954,1994.96,21.42,18.47,26.24,S,0.65,0.4,0.97
TA00216,Makerere Synoptic,2018-12-14,83.46,0,87.89,3769.41,22.44,18.43,28.05,S,0.86,0.4,1.38
TA00216,Makerere Synoptic,2018-12-15,85.54,38.67,87.873,3753.42,22.02,17.44,27.75,S,0.89,0.4,1.94
TA00216,Makerere Synoptic,2018-12-16,81.71,0.54,87.838,4138.06,21.32,17.13,27.71,S,1.9,0,23.31
TA00216,Makerere Synoptic,2018-12-17,75.92,0.07,87.763,4934.68,23.9,18.31,31.12,SE,1.78,0.51,4.25
TA00216,Makerere Synoptic,2018-12-18,85.46,0.33,87.717,1833.93,22.34,19.11,26.51,S,0.89,0.53,1.35
TA00216,Makerere Synoptic,2018-12-19,82.71,0.29,87.717,2154.82,22.74,20.07,27.64,SE,1.3,0.38,3.41
TA00216,Makerere Synoptic,2018-12-20,86.92,0.97,87.687,1546.35,21.25,19.12,25.75,S,0.74,0.27,1.22
TA00216,Makerere Synoptic,2018-12-21,83.83,3.42,87.618,3013.8,22.34,19.24,27.67,SE,1.47,0.29,3.74
TA00216,Makerere Synoptic,2018-12-22,80.92,0.11,87.501,4209.52,23.32,18.74,29.92,SE,1.44,0.61,2.47
TA00216,Makerere Synoptic,2018-12-23,88,0.54,87.579,1204.27,20.92,19.27,23.95,SE,0.76,0.41,1.35
TA00216,Makerere Synoptic,2018-12-24,83.38,0.81,87.606,3880.76,22.61,19,28.05,S,1.59,0.58,3.97
TA00216,Makerere Synoptic,2018-12-25,82.21,0.19,87.608,3730.86,22.74,18.68,29.6,S,1.02,0.52,1.81
TA00216,Makerere Synoptic,2018-12-26,80.88,0.15,87.63,4824.01,24.02,19.37,30.12,SE,1.69,0.87,2.9
TA00216,Makerere Synoptic,2018-12-27,76.83,0.11,87.599,4630.73,23.92,18.99,30.15,SE,1.25,0.6,1.78
TA00216,Makerere Synoptic,2018-12-28,76.63,0.18,87.625,3862.07,23.9,18.7,30.47,SE,1.88,0.38,3.8
TA00216,Makerere Synoptic,2018-12-29,83.67,5.43,87.675,2808.7,21.24,18.32,28.77,SE,1.15,0.41,3.6
TA00216,Makerere Synoptic,2018-12-30,75.67,0,87.688,4810,23.57,17.69,29.75,SE,2.03,0.45,4.09
TA00216,Makerere Synoptic,2018-12-31,78.29,0,87.716,4296.84,23.44,17.44,28.94,SE,1.77,0.43,3.8
TA00216,Makerere Synoptic,2019-01-01,79.17,20.11,87.805,4515.33,22.74,17.2,30.07,SE,1.79,0,4.77
TA00216,Makerere Synoptic,2019-01-02,84.79,18.68,87.781,4294.26,22.27,18.27,29.82,S,0.92,0.39,1.48
TA00216,Makerere Synoptic,2019-01-03,76.5,8.34,87.687,3302.22,23.4,19.2,30.69,S,1.13,0.25,3.73
TA00216,Makerere Synoptic,2019-01-04,81.83,18.47,87.689,4347.27,22.61,17.35,29.76,SE,1.21,0,3.84
TA00216,Makerere Synoptic,2019-01-05,73,0.1,87.666,5034.16,24.27,17.96,31.29,SE,4.72,0,36.91
TA00216,Makerere Synoptic,2019-01-06,66.75,0,87.576,4612.63,24.76,19.05,31.44,SE,2.11,0.55,4.24
TA00216,Makerere Synoptic,2019-01-07,65.58,0,87.536,4747.04,25.12,20.4,32.55,SE,2.51,0.48,5.48
TA00216,Makerere Synoptic,2019-01-08,78.42,0.7,87.592,2510.11,22.67,19.15,29.38,SE,1.61,0.41,3.78
TA00216,Makerere Synoptic,2019-01-09,76.71,0,87.581,4150.46,24.24,20.02,30.24,SE,2.09,0.53,4.63
TA00216,Makerere Synoptic,2019-01-10,66,0,87.587,4031.51,25.47,20.2,32.16,SE,2.93,0.57,5.23
TA00216,Makerere Synoptic,2019-01-11,68.21,0,87.523,4022.66,25.21,19.51,31.97,SE,3.02,0.46,5.88
TA00216,Makerere Synoptic,2019-01-12,62.42,0,87.505,4914.39,24.88,19.01,32.71,SE,3.26,0.63,5.81
TA00216,Makerere Synoptic,2019-01-13,68.42,0.04,87.549,5103.02,24.29,17.93,32.85,SE,2.7,0.38,6.03
TA00216,Makerere Synoptic,2019-01-14,71.38,0,87.629,3265.53,24.29,19.38,30.67,SE,2.05,0.38,4.3
TA00216,Makerere Synoptic,2019-01-15,77.5,0.31,87.745,3666.6,22.74,19.32,30.14,SE,1.41,0.58,3.88
TA00216,Makerere Synoptic,2019-01-16,83.83,7.68,87.828,3840.94,21.77,17.91,26.99,SE,1.7,0.56,3.34
TA00216,Makerere Synoptic,2019-01-17,83.17,0.04,87.66,3625.78,23.02,18.1,28.46,SE,1.34,0.49,3.07
TA00216,Makerere Synoptic,2019-01-18,78.33,0.02,87.686,4100.23,23.3,19.65,29.79,SE,1.44,0.44,3.36
TA00216,Makerere Synoptic,2019-01-19,84.54,5.57,87.713,2554.3,21.64,18.77,28.18,S,1.13,0.49,3.42
TA00216,Makerere Synoptic,2019-01-20,92.38,12.03,87.775,1598.53,20.43,17.93,26.38,S,0.75,0.42,1.22
TA00216,Makerere Synoptic,2019-01-21,86.13,2.39,87.818,2720.17,21.63,18.45,27.43,SE,1.37,0.52,3.51
TA00216,Makerere Synoptic,2019-01-22,85.13,2.99,87.641,3449.64,22.61,19.32,28.71,S,1.34,0.47,3.46
TA00216,Makerere Synoptic,2019-01-23,87.92,3.47,87.645,2029.57,22.58,20.29,26.89,S,0.62,0.35,0.89
TA00216,Makerere Synoptic,2019-01-24,81.96,0.35,87.662,3375.54,23.73,20.51,30.21,SE,1.41,0.46,3.36
TA00216,Makerere Synoptic,2019-01-25,79.33,0.08,87.701,4867.56,24.29,20.29,29.55,SE,1.93,0.53,4.06
TA00216,Makerere Synoptic,2019-01-26,77.58,0.08,87.719,4731.17,23.98,19.58,30.58,SE,1.88,0.67,3.73
TA00216,Makerere Synoptic,2019-01-27,80.75,0.18,87.624,3232.96,24.02,19.32,31.6,S,1.45,0.43,3.26
TA00216,Makerere Synoptic,2019-01-28,78.79,0.17,87.536,4213.23,24.58,19.41,31.5,SE,1.79,0.37,3.9
TA00216,Makerere Synoptic,2019-01-29,74.54,0.05,87.585,4343.34,24.87,19.75,31.23,SE,1.9,0.58,3.89
TA00216,Makerere Synoptic,2019-01-30,69.5,0,87.636,4672.8,24.59,19.27,31.35,SE,2.5,0.38,4.82
TA00216,Makerere Synoptic,2019-01-31,72.63,0.04,87.624,4418.63,24.26,19.02,30.67,SE,2,0.47,3.96
TA00216,Makerere Synoptic,2019-02-01,75.17,0.13,87.636,4434.64,24.48,18.91,30.89,SE,1.96,0.5,3.8
TA00216,Makerere Synoptic,2019-02-02,66.63,0.04,87.575,4994.07,25.17,19.46,31.72,SE,2.43,0.5,4.47
TA00216,Makerere Synoptic,2019-02-03,71.33,0.14,87.51,4908.9,25.17,18.82,32.03,SE,2.2,0.43,4.3
TA00216,Makerere Synoptic,2019-02-04,73.67,0.12,87.479,4973.98,25.05,19.3,31.6,SE,2.33,0.46,4.77
TA00216,Makerere Synoptic,2019-02-05,76.79,0.02,87.53,3180.6,24.6,20.5,30.08,SE,2.4,0.73,4.73
TA00216,Makerere Synoptic,2019-02-06,76.5,0.08,87.58,4045.63,24.86,20.21,30.88,SE,1.86,0.45,3.74
TA00216,Makerere Synoptic,2019-02-07,79,0.08,87.638,3293.9,23.73,20.08,30.42,SE,1.81,0.35,3.62
TA00216,Makerere Synoptic,2019-02-08,76.88,0.04,87.541,4213.65,25.38,20.07,31.1,S,1.91,0.57,3.9
TA00216,Makerere Synoptic,2019-02-09,77.54,0,87.431,3217.31,25.78,21.45,31.57,SE,1.71,0.5,3.71
TA00216,Makerere Synoptic,2019-02-10,68.42,0,87.476,4479.56,26.08,21.01,33.37,SE,2.53,0.3,4.67
TA00216,Makerere Synoptic,2019-02-11,71.29,0,87.585,2563.3,24.34,21.35,28.8,SE,2.78,0.51,4.43
TA00216,Makerere Synoptic,2019-02-12,79.13,0.12,87.509,3649.75,24.78,20.07,30.26,SE,1.84,0.4,3.78
TA00216,Makerere Synoptic,2019-02-13,68.17,0.12,87.638,4923.16,25.63,19.91,32.49,SE,2.16,0.51,4.08
TA00216,Makerere Synoptic,2019-02-14,59.63,0,87.736,4917.36,26.38,20.17,32.68,SE,3.1,1.24,4.62
TA00216,Makerere Synoptic,2019-02-15,67.08,1.99,87.792,3213.31,23.87,20.57,31.2,SE,1.56,0.33,3.64
TA00216,Makerere Synoptic,2019-02-16,65.96,0,87.795,5753.17,24.74,20.67,28.88,NE,0.67,0.22,1.33
TA00216,Makerere Synoptic,2019-02-17,74.71,1.47,87.735,3694.69,23.36,19.72,28.04,E,0.64,0.2,1.34
TA00216,Makerere Synoptic,2019-02-18,66.17,0.46,87.636,4015.29,23.52,20.16,28.42,E,0.69,0.22,1.51
TA00216,Makerere Synoptic,2019-02-19,62.92,0,87.571,5233.37,24.56,20.19,30.97,E,0.74,0.34,1.55
TA00216,Makerere Synoptic,2019-02-20,68.13,0,87.635,5195.8,24.78,20.86,28.54,S,0.7,0.27,1.25
TA00216,Makerere Synoptic,2019-02-21,78.71,24.87,87.721,5436.57,22.74,17.22,28.4,SE,0.76,0.4,1.27
TA00216,Makerere Synoptic,2019-02-22,75.13,12.46,87.723,5381.76,22.06,16.94,28.16,E,0.87,0.39,1.45
TA00216,Makerere Synoptic,2019-02-23,78.79,36.88,87.74,5726.34,21.86,16.35,27.03,E,0.95,0.25,1.68
TA00216,Makerere Synoptic,2019-02-24,83.38,3.77,87.804,5469.73,20.87,15.97,25.28,NE,0.72,0.21,1.42
TA00216,Makerere Synoptic,2019-02-25,78.21,0.48,87.72,6784.75,22.54,17.58,27.09,S,0.64,0.25,1.23
TA00216,Makerere Synoptic,2019-02-26,72,0,87.543,6680.13,24.26,19.57,28.84,NW,0.62,0.24,1.09
TA00216,Makerere Synoptic,2019-02-27,73.5,0,87.56,7245.04,24.96,20.81,29.98,S,0.69,0.21,1.26
TA00216,Makerere Synoptic,2019-02-28,69.21,0.04,87.588,5715.91,24.54,20.93,28.82,NE,0.62,0.19,1.29
TA00216,Makerere Synoptic,2019-03-01,66.92,0,87.674,5216.36,24.53,20.64,29.53,E,0.61,0.23,1.13
TA00216,Makerere Synoptic,2019-03-02,77.67,0.53,87.83,3936.49,22.37,20.31,26.01,E,0.67,0.21,1.51
TA00216,Makerere Synoptic,2019-03-03,73.79,0,87.764,4738.79,23.47,19.03,27.18,S,0.62,0.23,1.04
TA00216,Makerere Synoptic,2019-03-04,87.21,21.32,87.756,4289.48,21.3,17.15,26.29,E,0.65,0.22,1.11
TA00216,Makerere Synoptic,2019-03-05,78.54,0.14,87.738,5645.62,22.71,18.78,27.63,S,0.6,0.22,1.09
TA00216,Makerere Synoptic,2019-03-06,73.71,3.98,87.823,5167.8,22.74,18.46,28.47,S,0.65,0.23,1.31
TA00216,Makerere Synoptic,2019-03-07,77.58,0.37,87.76,5462.28,22.36,18.55,27.01,S,0.67,0.3,1.03
TA00216,Makerere Synoptic,2019-03-08,63.13,0,87.696,4904.02,23.79,20.48,27.91,N,0.54,0.2,1.15
TA00216,Makerere Synoptic,2019-03-09,69.46,0,87.711,5713.91,24.54,20.49,28.18,S,0.63,0.24,1.16
TA00216,Makerere Synoptic,2019-03-10,74.13,0,87.731,6543.21,24.57,21.21,28.55,S,0.62,0.17,1.1
TA00216,Makerere Synoptic,2019-03-11,73.42,0,87.716,4943.49,23.99,20.63,29.34,NW,0.56,0.24,1.19
TA00216,Makerere Synoptic,2019-03-12,74.13,0.07,87.652,6240.72,24.68,20.54,28.86,S,0.61,0.17,1.26
TA00216,Makerere Synoptic,2019-03-13,70.13,0,87.718,6769.53,24.08,20.65,27.93,SW,0.74,0.27,1.23
TA00216,Makerere Synoptic,2019-03-14,73.21,0,87.684,6436.77,24.1,20.89,28.23,NE,0.7,0.28,1.12
TA00216,Makerere Synoptic,2019-03-15,71,0,87.58,6666.1,24.55,20.66,28.87,S,0.69,0.26,1.17
TA00216,Makerere Synoptic,2019-03-16,70.67,0,87.576,6281.64,25.12,20.7,29.87,S,0.72,0.26,1.28
TA00216,Makerere Synoptic,2019-03-17,67.04,0,87.643,5438.84,24.98,20.8,29.31,NE,0.76,0.19,1.48
TA00216,Makerere Synoptic,2019-03-18,70.96,0,87.663,6039.42,24.54,20.21,29.51,NE,0.63,0.2,1.38
TA00216,Makerere Synoptic,2019-03-19,71.96,0.02,87.511,5640.94,25.33,20.22,30,S,0.6,0.13,1.21
TA00216,Makerere Synoptic,2019-03-20,69.54,0.06,87.455,6435.22,25.72,21.46,30.52,S,0.74,0.17,1.4
TA00216,Makerere Synoptic,2019-03-21,70.08,0,87.535,5094.93,24.99,21.04,29.55,S,0.69,0.19,1.3
TA00216,Makerere Synoptic,2019-03-22,71.46,0,87.506,6486.31,25.15,21.09,29.95,S,0.69,0.25,1.41
TA00216,Makerere Synoptic,2019-03-23,69.54,0,87.423,6095.4,25.29,19.99,31.2,S,0.62,0.22,1.15
TA00216,Makerere Synoptic,2019-03-24,75.54,0.08,87.42,5536.74,24.86,20.81,29.74,S,0.68,0.24,1.32
TA00216,Makerere Synoptic,2019-03-25,73.04,0.43,87.567,4879.42,24.54,20.86,28.63,E,0.75,0.28,1.24
TA00216,Makerere Synoptic,2019-03-26,70.5,0,87.778,4554.91,23.77,19.97,28.39,E,0.76,0.22,1.3
TA00216,Makerere Synoptic,2019-03-27,85.46,11.56,87.908,2328.19,21.49,19,27.09,NE,0.6,0.19,1.19
TA00216,Makerere Synoptic,2019-03-28,81.42,0.34,87.932,4773.22,22.14,18.99,27.75,NE,0.75,0.39,1.48
TA00216,Makerere Synoptic,2019-03-29,76.5,0,87.715,5844.6,24.02,19.58,30.2,NE,0.6,0.27,1.01
TA00216,Makerere Synoptic,2019-03-30,78.13,0,87.709,4383.03,23.55,20.83,27.21,S,0.66,0.2,1.26
TA00216,Makerere Synoptic,2019-03-31,75.5,0,87.627,4935.39,24.23,20.3,28.26,S,0.66,0.24,1.3
TA00216,Makerere Synoptic,2019-04-01,74.79,0,87.658,5582.26,24.24,20.73,28.55,S,0.78,0.28,1.25
TA00216,Makerere Synoptic,2019-04-02,80.54,4.88,87.71,4538.82,22.06,18.74,25.72,N,0.71,0.22,1.57
TA00216,Makerere Synoptic,2019-04-03,74.54,0.05,87.625,5160.32,24.28,20.7,28.93,S,0.59,0.26,1.13
TA00216,Makerere Synoptic,2019-04-04,77.92,0.29,87.6,4139.2,24.1,20.63,29.29,S,0.61,0.2,1.18
TA00216,Makerere Synoptic,2019-04-05,78.21,0,87.591,5766.86,24.72,21.36,28.98,S,0.68,0.19,1.37
TA00216,Makerere Synoptic,2019-04-06,75.88,0.06,87.558,6202.4,25.2,21.44,30.62,S,0.65,0.2,1.19
TA00216,Makerere Synoptic,2019-04-07,72.46,0,87.588,4296.95,25.33,21.61,30.03,S,0.65,0.23,1.29
TA00216,Makerere Synoptic,2019-04-08,74.04,0,87.578,4297.28,24.83,21.21,29.95,NE,0.64,0.23,1.17
TA00216,Makerere Synoptic,2019-04-09,91.33,53.44,87.671,1871.91,20.27,17.14,24.14,E,0.71,0.23,1.23
TA00216,Makerere Synoptic,2019-04-10,79.88,0,87.699,4711.75,22.25,19.39,26.52,SE,0.62,0.22,1.11
TA00216,Makerere Synoptic,2019-04-11,78.33,0,87.569,5620.23,23.81,18.89,28.17,S,0.62,0.26,1.17
TA00216,Makerere Synoptic,2019-04-12,81.67,16.01,87.534,4696.81,23.26,17.6,27.52,NE,0.68,0.3,1.14
TA00216,Makerere Synoptic,2019-04-13,85.13,8.68,87.636,4872.37,22.22,18.91,26.83,NE,0.75,0.38,1.12
TA00216,Makerere Synoptic,2019-04-14,79.25,8.61,87.651,3998.54,23.58,19.66,28.24,S,0.55,0.24,1.17
TA00216,Makerere Synoptic,2019-04-15,81.71,4.62,87.703,4482.13,23.23,19.14,27.96,NW,0.61,0.26,1.14
TA00216,Makerere Synoptic,2019-04-16,78.54,0,87.767,4354.39,22.77,19.32,27.03,NE,0.65,0.28,1.22
TA00216,Makerere Synoptic,2019-04-17,76.75,0,87.765,3598.78,22.45,18.96,27.7,NE,0.55,0.18,1
TA00216,Makerere Synoptic,2019-04-18,76.38,0.04,87.72,6159.33,24.31,19.75,28.89,S,0.63,0.21,1.41
TA00216,Makerere Synoptic,2019-04-19,77.83,0.12,87.621,5810.26,24.84,20.28,29.61,S,0.68,0.24,1.17
TA00216,Makerere Synoptic,2019-04-20,70.04,0.39,87.626,4941.52,24.51,21.47,29.26,NE,0.81,0.23,1.58
TA00216,Makerere Synoptic,2019-04-21,76.71,30.67,87.55,4996.01,23.72,18.31,28.63,S,0.69,0.23,1.24
TA00216,Makerere Synoptic,2019-04-22,84.38,11.78,87.722,4792.4,21.65,17.45,26.52,SE,0.68,0.23,1.1
TA00216,Makerere Synoptic,2019-04-23,81.54,0.05,87.849,3554.45,22.15,19.12,25.36,S,0.63,0.26,1
TA00216,Makerere Synoptic,2019-04-24,78.13,0,87.747,4900.09,23.99,19.89,28.42,S,0.54,0.14,0.98
TA00216,Makerere Synoptic,2019-04-25,79.17,36.32,87.692,4210.7,24.02,18.47,28.35,E,0.68,0.29,1.09
TA00216,Makerere Synoptic,2019-04-26,90.63,3.78,87.81,2974.96,21.07,18.23,24.71,NE,0.6,0.17,0.9
TA00216,Makerere Synoptic,2019-04-27,85.21,2.37,87.876,3479.47,21.61,18.89,24.45,S,0.6,0.16,1.03
TA00216,Makerere Synoptic,2019-04-28,82.79,0,87.752,4297.77,23.26,19.21,27.22,S,0.54,0.19,1.16
