,PM2.5(Ug/m3),EVI,NDVI
PM2.5(Ug/m3),1.0,-0.5255112617393898,-0.38498830703238474
EVI,-0.5255112617393898,1.0,0.756112237899534
NDVI,-0.38498830703238474,0.756112237899534,1.0
